project_name,repo_link
"2quip","https://github.com/2Quip/Alex"
"2quip","https://github.com/2Quip/oztoca"
"Adwave Invoice",""
"Alphalina",""
"Anthony Williams","https://gitea.personalsoftware.space/mkdlabs/aea_frontend.git"
"Anthony Williams","https://gitea.personalsoftware.space/mkdlabs/aea_backend"
"Anthony Williams","https://aea.personalsoftware.space/user/login"
"Anton","https://gitea.personalsoftware.space/abraham/Anton_wireframe.git"
"Anton","https://gitea.personalsoftware.space/mkdlabs/anton-wireframe_frontend"
"Audit Room",""
"Auth8","https://gitea.personalsoftware.space/mkdlabs/auth8_app"
"Auth8","https://gitea.personalsoftware.space/mkdlabs/auth8_prod"
"Auth8","https://gitea.personalsoftware.space/mkdlabs/auth8_certificate_worker"
"Auth8","https://gitea.personalsoftware.space/mkdlabs/ds_auth8"
"Automate Intel Pro",""
"Beyond Packaging","https://gitea.personalsoftware.space/mkdlabs/beyondpkg_frontend"
"Beyond Packaging","https://gitea.personalsoftware.space/mkdlabs/beyondpkg_backend"
"Beyond Packaging","https://gitea.personalsoftware.space/mkdlabs/beyondpkg"
"Bnevents","https://github.com/vibecodeengineering/bneventspace_marketing"
"Bnevents","https://github.com/vibecodeengineering/bneventspace_frontend"
"Bnevents","https://github.com/mytechpassport/bnevents_frontend"
"Cain Rental","https://gitea.personalsoftware.space/mkdlabs/longtermhire_backend"
"Cain Rental","https://gitea.personalsoftware.space/mkdlabs/longtermhire_frontend"
"Cait",""
"Canadian Paper","https://gitea.personalsoftware.space/mkdlabs/canadian_paper_ds"
"Canadian Paper","https://gitea.personalsoftware.space/mkdlabs/canadianpaper_frontend"
"Canadian Paper","https://gitea.personalsoftware.space/mkdlabs/canadianpaper_backend"
"Cosmoline","https://github.com/manaknightdev/cosmoline.git"
"Cosmoline","https://gitea.personalsoftware.space/mkdlabs/cosmosline_ds"
"Cosmoline","https://gitea.personalsoftware.space/mkdlabs/cosmoline_backend"
"Court Matchup","https://gitea.personalsoftware.space/mkdlabs/courtmatchup_frontend"
"Court Matchup","https://gitea.personalsoftware.space/mkdlabs/courtmatchup_backend"
"Court Matchup","https://gitea.personalsoftware.space/mkdlabs/courtmatch_android"
"Danny K",""
"Deal Maker","https://gitea.personalsoftware.space/mkdlabs/rainmaker_backend"
"Deal Maker","https://gitea.personalsoftware.space/mkdlabs/rainmaker_frontend"
"Deanna","https://gitea.personalsoftware.space/mkdlabs/ds_deanna"
"Deanna","https://gitea.personalsoftware.space/mkdlabs/deanna_backend"
"Deanna","https://gitea.personalsoftware.space/mkdlabs/deanna_frontend"
"Decision Tree (voice)","https://gitea.personalsoftware.space/mkdlabs/voice_ds"
"Decision Tree (voice)","https://gitea.personalsoftware.space/mkdlabs/voiceoutreach_frontend"
"Decision Tree (voice)","https://gitea.personalsoftware.space/mkdlabs/voiceoutreach_backend"
"DigitalApprentice","https://gitea.personalsoftware.space/mkdlabs/reasonflow_ds"
"DigitalApprentice","https://github.com/mytechpassport/mtp_lifetime_software"
"Dinggo",""
"Dirtygraphics",""
"DivorceCoach","https://gitea.personalsoftware.space/mkdlabs/divorcecoach_backend"
"DivorceCoach","https://github.com/manaknightdev/AIDivorce"
"DivorceCoach","https://gitea.personalsoftware.space/mkdlabs/divorcecoach_backend/src/branch/DS"
"DivorceCoach","https://gitea.personalsoftware.space/mkdlabs/divorcecoach_backend"
"Dream Diary","https://gitea.personalsoftware.space/mkdlabs/dream_diary"
"Dream Diary","https://gitea.personalsoftware.space/mkdlabs/dreambook_frontend"
"Dream Diary","https://gitea.personalsoftware.space/mkdlabs/dreambook_prod"
"Dream Diary","https://gitea.personalsoftware.space/mkdlabs/dreambook_backend"
"Dream Diary","https://gitea.personalsoftware.space/mkdlabs/dreambook_ios"
"Dream Diary","https://gitea.personalsoftware.space/mkdlabs/dream_diary_node"
"Dream Diary","https://github.com/vibecodeengineering/dream2movieadmin"
"Equality Records","https://gitea.personalsoftware.space/mkdlabs/equalityrecord_backend"
"Equality Records","https://gitea.personalsoftware.space/mkdlabs/equalitydev_frontend"
"Equality Records","https://gitea.personalsoftware.space/mkdlabs/equalityrecords_manager"
"Equality Records","https://gitea.personalsoftware.space/mkdlabs/equality_record_member_frontend"
"Equality Records","https://gitea.personalsoftware.space/mkdlabs/equalityrecords_client"
"Equality Records","https://gitea.personalsoftware.space/mkdlabs/equalityrecords_admin"
"Equality Records","https://gitea.personalsoftware.space/mkdlabs/equalityrecord_backend_prod"
"Equality Records","https://gitea.personalsoftware.space/mkdlabs/equalityrecord_homepage_frontend"
"ERP AI","https://gitea.personalsoftware.space/mkdlabs/erpai_frontend"
